date,reviewer_id,content_category,shift,region,decision_outcome,correct_decision,processing_time_mins,sla_breached
2024-01-01,REV_020,Hate Speech,Night,APAC,Kept,True,10.97,True
2024-01-01,REV_008,Bullying,Night,EMEA,Removed,True,1.59,False
2024-01-01,REV_014,Self Harm,Afternoon,APAC,Removed,True,11.81,True
2024-01-01,REV_003,Bullying,Morning,EMEA,Removed,True,9.65,False
2024-01-01,REV_015,Animal Cruelty,Morning,EMEA,Escalated,True,5.46,False
2024-01-01,REV_020,Self Harm,Night,APAC,Removed,True,2.12,False
2024-01-01,REV_010,Hate Speech,Morning,APAC,Kept,True,7.62,False
2024-01-01,REV_006,Self Harm,Afternoon,APAC,Escalated,True,10.97,True
2024-01-01,REV_003,Animal Cruelty,Night,APAC,Kept,True,4.8,False
2024-01-01,REV_013,Self Harm,Night,AMER,Removed,True,10.74,True
2024-01-01,REV_008,Hate Speech,Afternoon,EMEA,Escalated,True,4.35,False
2024-01-01,REV_011,Child Safety,Night,EMEA,Kept,True,13.85,True
2024-01-01,REV_005,Self Harm,Morning,APAC,Escalated,True,8.78,False
2024-01-01,REV_019,Bullying,Night,EMEA,Removed,True,14.96,True
2024-01-01,REV_017,Bullying,Morning,APAC,Removed,True,3.56,False
2024-01-01,REV_014,Animal Cruelty,Morning,EMEA,Escalated,True,14.95,True
2024-01-01,REV_009,Animal Cruelty,Morning,AMER,Escalated,True,10.7,True
2024-01-01,REV_009,Violence,Afternoon,APAC,Removed,True,3.64,False
2024-01-01,REV_009,Animal Cruelty,Morning,AMER,Kept,False,13.25,True
2024-01-01,REV_017,Animal Cruelty,Morning,APAC,Escalated,True,3.68,False
2024-01-01,REV_001,Animal Cruelty,Afternoon,EMEA,Kept,True,14.04,True
2024-01-01,REV_008,Hate Speech,Morning,AMER,Kept,False,2.66,False
2024-01-01,REV_003,Animal Cruelty,Morning,APAC,Removed,True,14.28,True
2024-01-01,REV_009,Animal Cruelty,Night,EMEA,Escalated,False,14.04,True
2024-01-01,REV_007,Violence,Afternoon,EMEA,Kept,False,10.27,True
2024-01-01,REV_017,Bullying,Morning,APAC,Escalated,True,6.06,False
2024-01-01,REV_018,Child Safety,Night,APAC,Removed,True,11.06,True
2024-01-01,REV_008,Hate Speech,Morning,EMEA,Escalated,True,4.71,False
2024-01-01,REV_016,Child Safety,Night,APAC,Escalated,True,13.41,True
2024-01-01,REV_016,Child Safety,Afternoon,EMEA,Kept,True,2.81,False
2024-01-01,REV_012,Bullying,Afternoon,EMEA,Escalated,True,2.23,False
2024-01-01,REV_004,Hate Speech,Afternoon,AMER,Removed,True,13.13,True
2024-01-01,REV_007,Child Safety,Night,EMEA,Kept,True,3.98,False
2024-01-01,REV_008,Hate Speech,Afternoon,AMER,Escalated,True,10.3,True
2024-01-01,REV_001,Hate Speech,Morning,APAC,Kept,True,8.0,False
2024-01-01,REV_002,Child Safety,Afternoon,APAC,Kept,False,5.08,False
2024-01-01,REV_010,Bullying,Night,AMER,Escalated,False,9.0,False
2024-01-01,REV_016,Child Safety,Morning,EMEA,Escalated,True,2.29,False
2024-01-01,REV_018,Hate Speech,Night,EMEA,Escalated,True,9.39,False
2024-01-01,REV_017,Child Safety,Morning,AMER,Escalated,True,4.01,False
2024-01-01,REV_003,Violence,Morning,EMEA,Removed,True,13.52,True
2024-01-01,REV_019,Animal Cruelty,Morning,AMER,Escalated,True,10.37,True
2024-01-01,REV_017,Self Harm,Afternoon,APAC,Kept,True,5.74,False
2024-01-01,REV_013,Child Safety,Night,AMER,Removed,True,5.77,False
2024-01-01,REV_001,Bullying,Night,AMER,Removed,False,2.49,False
2024-01-01,REV_017,Self Harm,Morning,EMEA,Kept,False,13.37,True
2024-01-01,REV_010,Child Safety,Afternoon,AMER,Escalated,True,9.76,False
2024-01-01,REV_017,Hate Speech,Night,AMER,Removed,True,10.46,True
2024-01-01,REV_009,Hate Speech,Morning,AMER,Escalated,True,5.18,False
2024-01-01,REV_007,Violence,Afternoon,APAC,Escalated,True,13.01,True
2024-01-01,REV_016,Self Harm,Morning,APAC,Removed,True,12.7,True
2024-01-01,REV_001,Self Harm,Morning,AMER,Kept,False,3.68,False
2024-01-01,REV_018,Violence,Afternoon,AMER,Escalated,True,2.52,False
2024-01-01,REV_005,Animal Cruelty,Morning,EMEA,Removed,True,3.5,False
2024-01-01,REV_002,Self Harm,Afternoon,APAC,Removed,False,4.34,False
2024-01-01,REV_004,Self Harm,Night,EMEA,Removed,False,11.62,True
2024-01-01,REV_006,Child Safety,Afternoon,APAC,Kept,True,13.98,True
2024-01-01,REV_008,Self Harm,Morning,AMER,Kept,True,13.27,True
2024-01-01,REV_008,Child Safety,Afternoon,EMEA,Removed,True,12.24,True
2024-01-01,REV_008,Hate Speech,Night,APAC,Removed,True,5.26,False
2024-01-01,REV_009,Self Harm,Night,AMER,Escalated,True,14.75,True
2024-01-01,REV_011,Hate Speech,Morning,EMEA,Kept,True,14.49,True
2024-01-01,REV_002,Hate Speech,Night,EMEA,Kept,True,12.12,True
2024-01-01,REV_020,Animal Cruelty,Morning,EMEA,Removed,False,4.07,False
2024-01-01,REV_014,Hate Speech,Night,AMER,Escalated,True,14.19,True
2024-01-01,REV_007,Self Harm,Afternoon,APAC,Escalated,False,13.93,True
2024-01-01,REV_011,Violence,Morning,AMER,Escalated,False,8.35,False
2024-01-01,REV_014,Self Harm,Afternoon,AMER,Kept,True,3.22,False
2024-01-01,REV_013,Violence,Night,APAC,Escalated,True,5.56,False
2024-01-01,REV_001,Self Harm,Afternoon,APAC,Escalated,True,9.33,False
2024-01-01,REV_011,Bullying,Afternoon,EMEA,Escalated,True,8.4,False
2024-01-01,REV_006,Violence,Morning,EMEA,Kept,True,10.04,True
2024-01-01,REV_003,Child Safety,Night,EMEA,Removed,True,4.19,False
2024-01-01,REV_002,Child Safety,Afternoon,AMER,Kept,True,2.48,False
2024-01-01,REV_019,Child Safety,Night,AMER,Removed,True,6.9,False
2024-01-01,REV_001,Hate Speech,Afternoon,APAC,Escalated,True,14.43,True
2024-01-01,REV_015,Hate Speech,Night,APAC,Removed,False,3.14,False
2024-01-01,REV_015,Violence,Night,AMER,Kept,True,14.33,True
2024-01-01,REV_020,Violence,Night,EMEA,Removed,True,8.9,False
2024-01-01,REV_016,Bullying,Afternoon,APAC,Escalated,True,5.24,False
2024-01-01,REV_016,Violence,Morning,EMEA,Removed,True,11.13,True
2024-01-01,REV_009,Self Harm,Afternoon,AMER,Kept,True,3.54,False
2024-01-01,REV_005,Violence,Morning,APAC,Kept,True,5.97,False
2024-01-01,REV_014,Hate Speech,Morning,EMEA,Escalated,True,11.89,True
2024-01-01,REV_001,Animal Cruelty,Afternoon,EMEA,Kept,True,6.25,False
2024-01-01,REV_014,Animal Cruelty,Night,AMER,Removed,True,9.64,False
2024-01-01,REV_016,Child Safety,Afternoon,EMEA,Escalated,True,6.75,False
2024-01-01,REV_013,Violence,Morning,EMEA,Escalated,False,14.74,True
2024-01-01,REV_001,Bullying,Night,AMER,Kept,True,2.63,False
2024-01-01,REV_005,Bullying,Morning,APAC,Kept,True,5.92,False
2024-01-01,REV_011,Self Harm,Afternoon,EMEA,Kept,True,12.73,True
2024-01-01,REV_003,Bullying,Morning,AMER,Kept,True,15.0,True
2024-01-01,REV_008,Violence,Morning,AMER,Removed,True,1.92,False
2024-01-01,REV_007,Hate Speech,Night,APAC,Removed,True,7.89,False
2024-01-01,REV_019,Child Safety,Afternoon,AMER,Escalated,True,6.48,False
2024-01-01,REV_020,Violence,Night,APAC,Kept,True,3.71,False
2024-01-01,REV_004,Animal Cruelty,Morning,EMEA,Kept,True,13.76,True
2024-01-01,REV_013,Violence,Morning,APAC,Removed,True,12.71,True
2024-01-01,REV_004,Violence,Afternoon,AMER,Escalated,True,3.13,False
2024-01-01,REV_002,Self Harm,Night,EMEA,Escalated,True,2.43,False
2024-01-01,REV_011,Hate Speech,Afternoon,EMEA,Escalated,True,14.47,True
2024-01-01,REV_015,Violence,Morning,EMEA,Escalated,True,8.54,False
2024-01-01,REV_009,Animal Cruelty,Night,EMEA,Escalated,True,12.65,True
2024-01-01,REV_009,Self Harm,Morning,APAC,Kept,True,7.59,False
2024-01-01,REV_019,Animal Cruelty,Night,EMEA,Kept,True,8.17,False
2024-01-01,REV_006,Bullying,Morning,EMEA,Escalated,True,6.09,False
2024-01-01,REV_009,Animal Cruelty,Morning,AMER,Escalated,False,2.66,False
2024-01-01,REV_014,Bullying,Night,APAC,Kept,True,10.22,True
2024-01-01,REV_015,Hate Speech,Morning,EMEA,Kept,True,10.84,True
2024-01-01,REV_019,Self Harm,Afternoon,AMER,Escalated,True,7.24,False
2024-01-01,REV_018,Self Harm,Afternoon,AMER,Removed,True,5.64,False
2024-01-01,REV_004,Violence,Morning,EMEA,Escalated,True,8.73,False
2024-01-01,REV_006,Child Safety,Morning,AMER,Escalated,True,11.28,True
2024-01-01,REV_020,Self Harm,Morning,APAC,Kept,True,6.37,False
2024-01-01,REV_001,Violence,Night,APAC,Escalated,True,14.65,True
2024-01-01,REV_010,Violence,Morning,AMER,Removed,True,8.13,False
2024-01-01,REV_019,Self Harm,Afternoon,EMEA,Removed,True,3.99,False
2024-01-01,REV_009,Bullying,Morning,APAC,Escalated,True,2.5,False
2024-01-01,REV_002,Child Safety,Morning,AMER,Removed,False,2.65,False
2024-01-01,REV_004,Animal Cruelty,Afternoon,AMER,Escalated,True,9.85,False
2024-01-01,REV_013,Bullying,Afternoon,EMEA,Kept,True,14.87,True
2024-01-01,REV_019,Animal Cruelty,Morning,AMER,Removed,False,2.84,False
2024-01-01,REV_007,Self Harm,Night,APAC,Removed,True,3.85,False
2024-01-01,REV_006,Hate Speech,Afternoon,EMEA,Removed,True,7.84,False
